id	name	sido	gu	addr	x	y	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	class_2023	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022	student_2023
S150003663	흥해서부초등학교	경북	포항시	경상북도 포항시 북구 흥해읍 북송길 53	129.3144897	36.1158294	4	3	4	5	4	5	6	7	7	7	7	7	7	7	7	7	31	29	28	35	27	28	36	53	78	93	99	93	95	106	106	107
S150003664	흥해초등학교	경북	포항시	경상북도 포항시 북구 흥해읍 흥해로 107	129.3464617	36.1146551	32	32	30	32	28	25	24	22	20	19	18	16	14	14	13	12	946	877	829	765	642	597	556	509	461	434	395	341	281	259	226	215
S050001231	고실초등학교	광주	광산구	광주광역시 광산구 풍영로 300	126.8165306	35.1982965	0	12	31	37	37	41	42	42	42	44	45	45	46	46	52	48	0	265	1026	1198	1212	1179	1317	1411	1422	1433	1434	1405	1352	1257	1176	1061
S050000428	금구초등학교	광주	광산구	광주광역시 광산구 임방울대로165번길 60	126.814061	35.1769698	38	38	38	38	37	37	33	31	29	27	27	26	24	24	23	23	1426	1310	1145	1054	959	882	752	701	656	607	606	568	511	507	460	428
S050001116	대반초등학교	광주	광산구	광주광역시 광산구 사암로340번길 19	126.809275	35.17556	31	31	31	32	31	29	28	28	27	27	28	31	30	28	30	29	1133	1045	926	840	777	701	676	626	592	595	607	648	576	518	493	475
S050001169	도산초등학교	광주	광산구	광주광역시 광산구 송정외로 6	126.7918617	35.1262833	23	26	26	26	25	23	21	20	20	19	18	17	14	14	13	13	674	687	639	619	562	496	451	409	388	365	344	305	271	249	238	200
S050000434	동곡초등학교	광주	광산구	광주광역시 광산구 동곡로 151-17	126.7729252	35.0985606	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	63	43	86	89	94	86	82	78	69	65	66	61	72	65	68	75
S050000436	마지초등학교	광주	광산구	광주광역시 광산구 목련로219번길 104	126.8240137	35.1761722	43	41	38	37	35	33	31	29	30	31	32	34	35	36	37	36	1383	1225	1055	952	860	762	704	648	669	688	682	718	757	763	758	736
S050000439	목련초등학교	광주	광산구	광주광역시 광산구 목련로153번길 20	126.8151842	35.1726175	21	21	21	21	20	21	19	17	16	16	15	14	14	13	11	10	588	590	525	486	449	409	377	334	296	280	255	256	250	204	179	153
S050000438	미산초등학교	광주	광산구	광주광역시 광산구 첨단중앙로181번길 70	126.8339329	35.2198469	47	46	42	42	39	38	35	32	31	30	29	29	26	26	24	25	1549	1361	1203	1138	976	880	812	758	717	664	630	623	565	544	519	506
S050000443	본량초등학교	광주	광산구	광주광역시 광산구 용진로 323	126.7230079	35.1810476	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	53	50	56	70	75	82	83	85	75	80	76	67	59	54	48	38
S050001144	봉산초등학교	광주	광산구	광주광역시 광산구 산월로 57	126.843629	35.2094589	41	42	42	42	42	42	42	42	42	42	42	42	42	42	41	39	1494	1495	1423	1507	1441	1355	1315	1261	1211	1164	1128	1112	1050	990	931	859
S050000447	비아초등학교	광주	광산구	광주광역시 광산구 비아동원촌길 19-20	126.825875	35.222735	31	30	29	28	28	26	25	25	24	21	21	20	20	19	18	16	891	834	781	721	677	621	569	525	459	426	398	396	369	348	317	289
S050000448	산월초등학교	광주	광산구	광주광역시 광산구 산월로9번길 36	126.83895	35.211193	26	25	23	21	18	19	18	18	15	15	14	13	12	11	10	10	772	677	580	499	441	387	336	295	293	259	238	218	195	175	166	155
S050001229	산정초등학교	광주	광산구	광주 광산구 목련로22번길 11	126.800854	35.1723996	0	6	15	25	25	27	36	46	47	47	47	47	53	53	55	55	0	32	468	671	768	835	1184	1254	1295	1344	1368	1407	1383	1401	1395	1316
S050000451	삼도초등학교	광주	광산구	광주광역시 광산구 용진로 9	126.7004743	35.1641808	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	79	63	59	54	45	42	39	41	38	34	43	52	45	50	60	52
