addr	serial	name	sido_	gu	sido
경기도 양주시 평화로1261번길 96-46	S090001798	산북초등학교	경기도	양주시	경기
대전광역시 동구 산내로 509	S060000338	산흥초등학교	대전광역시	동구	대전
경상남도 사천시 축동면 운계길 59-20	S160001651	축동초등학교	경상남도	사천시	경남
전라남도 해남군 화원면 청용길 117	S140002204	화원초등학교	전라남도	해남군	전남
경상북도 안동시 동부길 2	S150002343	안동동부초등학교	경상북도	안동시	경북
충청남도 아산시 둔포면 산전길 19	S120000594	관대초등학교	충청남도	아산시	충남
경기도 여주시 가남읍 양화로 168	S090003354	오산초등학교	경기도	여주시	경기
경상남도 창원시 마산합포구 합포서13길 20	S160001401	상남초등학교	경상남도	창원시	경남
충청남도 당진시 면천면 면천서문1길 33	S120000893	면천초등학교	충청남도	당진시	충남
제주특별자치도 서귀포시 표선면 성읍민속로 65	S170000318	성읍초등학교	제주특별자치도	서귀포시	제주
강원도 태백시 통골2길 9	S100001986	통리초등학교	강원도	태백시	강원
전라남도 진도군 고군면 고성길 2-3	S140002022	고성초등학교	전라남도	진도군	전남
경상남도 거제시 능포로 208	S160000782	능포초등학교	경상남도	거제시	경남
전라북도 고창군 무장면 무장초등길 24	S130000491	무장초등학교	전라북도	고창군	전북
전라남도 광양시 광양읍 읍성길 61	S140000562	광양동초등학교	전라남도	광양시	전남
전라북도 완주군 구이면 구이로 641	S130001066	대덕초등학교	전라북도	완주군	전북
경기도 화성시 장안면 화곡로 166	S090004289	노진초등학교	경기도	화성시	경기
충청남도 아산시 도고면 도고산로 598	S120000599	도고초등학교	충청남도	아산시	충남
경기도 안성시 보개면 보개원삼로 649	S090002948	보개초등학교	경기도	안성시	경기
전라남도 신안군 압해읍 복룡로 33-8	S140001277	압해초등학교	전라남도	신안군	전남
경기도 연천군 청산면 학담로 104	S090003441	초성초등학교	경기도	연천군	경기
경기도 평택시 팽성읍 계성새싹길 85	S090004011	계성초등학교	경기도	평택시	경기
경상북도 포항시 북구 흥해읍 칠포로 7	S150003551	곡강초등학교	경상북도	포항시	경북
경기도 남양주시 조안면 북한강로499번길 30	S090001616	남양주송촌초등학교	경기도	남양주시	경기
경상북도 상주시 외남면 석단로 1073	S150002089	외남초등학교	경상북도	상주시	경북
부산광역시 영도구 함지로 37	S020001483	절영초등학교	부산광역시	영도구	부산
세종특별자치시  연서면 벌말길 73	S080000047	쌍류초등학교	세종특별자치시	세종시	세종
강원도 양양군 강현면 진미로12번길 22	S100001003	강현초등학교	강원도	양양군	강원
전라남도 함평군 대동면 대동길 6-9	S140002125	대동향교초등학교	전라남도	함평군	전남
전라남도 함평군 해보면 해삼로 313	S140002124	해보초등학교	전라남도	함평군	전남
전라남도 장성군 진원면 불태3로 245	S140001937	진원동초등학교	전라남도	장성군	전남
전라남도 고흥군 포두면 우주로 624	S140000457	포두초등학교	전라남도	고흥군	전남
경기도 포천시 가산면 유교로88번길 8	S090004201	유암초등학교	경기도	포천시	경기
충청남도 보령시 청라면 죽성로 681	S120001098	옥계초등학교	충청남도	보령시	충남
충청남도 보령시 대천항로 235	S120001118	청파초등학교	충청남도	보령시	충남
강원도 속초시 청봉로 51	S100001018	설악초등학교	강원도	속초시	강원
강원도 강릉시 구정면 금평로 575	S100000575	금광초등학교	강원도	강릉시	강원
강원도 동해시 동해대로 6251	S100000782	망상초등학교	강원도	동해시	강원
경상북도 안동시 풍천면 신성장골길 1	S150002342	신성초등학교	경상북도	안동시	경북
충청남도 천안시 서북구 성환읍 연암로 382	S120000761	도하초등학교	충청남도	천안시	충남
경상북도 구미시 고아읍 송평구길 79	S150001418	구운초등학교	경상북도	구미시	경북
경기도 안성시 미양면 양지길 40	S090002945	미양초등학교	경기도	안성시	경기
대구광역시 달성군 하빈면 달구벌대로55길 104-4	S030000573	대구동곡초등학교	대구광역시	달성군	대구
경기도 포천시 내촌면 내촌로 88	S090004180	내촌초등학교	경기도	포천시	경기
인천광역시 강화군 양도면 강화남로 1036	S040000367	양도초등학교	인천광역시	강화군	인천
부산광역시 기장군 일광면 박영준길 19	S020001689	칠암초등학교	부산광역시	기장군	부산
경상북도 경산시 용성면 원효로 1405	S150001053	용성초등학교	경상북도	경산시	경북
충청남도 아산시 둔포면 신남북길 16	S120000597	남창초등학교	충청남도	아산시	충남
충청남도 서산시 대산읍 명지3로 25	S120000958	명지초등학교	충청남도	서산시	충남
전라북도 군산시 임피면 동헌길 38	S130000626	임피초등학교	전라북도	군산시	전북
경상북도 구미시 고아읍 봉한3길 16	S150001422	남계초등학교	경상북도	구미시	경북
경상북도 의성군 금성면 탑리길 131	S150003166	금성초등학교	경상북도	의성군	경북
전라남도 광양시 하포길 70-7	S140000557	골약초등학교	전라남도	광양시	전남
전라북도 정읍시 정우면 금남길 28-24	S130001639	정우초등학교	전라북도	정읍시	전북
충청북도 제천시 봉양읍 팔송로 59	S110000706	봉양초등학교	충청북도	제천시	충북
세종특별자치시  소정면 학교말길 10	S080000045	소정초등학교	세종특별자치시	세종시	세종
경기도 여주시 흥천면 효자로 155	S090003368	흥천초등학교	경기도	여주시	경기
경상남도 김해시 진영읍 하계로 3	S160001163	금산초등학교	경상남도	김해시	경남
충청북도 옥천군 옥천읍 서대구일로 10	S110000566	군남초등학교	충청북도	옥천군	충북
