id	name	addr	x	y	type
S010001223	서울문교초등학교	서울특별시 금천구 독산로54길 102	126.908881	37.4665726	유지
S010001224	서울문래초등학교	서울특별시 영등포구 문래로 104	126.893275	37.518208	유지
S010001225	서울문백초등학교	서울특별시 금천구 시흥대로47길 43-1	126.89942	37.4469084	유지
S010001226	서울문성초등학교	서울특별시 금천구 시흥대로 460	126.8992192	37.474638	유지
S010001227	서울미래초등학교	서울특별시 구로구 새말로 73	126.888007	37.5051919	유지
S010001228	서울백산초등학교	서울특별시 금천구 시흥대로38길 78	126.9050196	37.4467347	유지
S010001229	서울세곡초등학교	서울특별시 구로구 고척로33길 34	126.8491281	37.5050972	유지
S010001230	서울시흥초등학교	서울특별시 금천구 독산로23길 26	126.9049358	37.4551006	유지
S010001231	서울신구로초등학교	서울특별시 구로구 가마산로27길 69	126.88889	37.4993045	유지
S010001232	서울신대림초등학교	서울특별시 영등포구 대림로8길 25	126.9057395	37.4922122	유지
S010001233	서울신도림초등학교	서울특별시 구로구 신도림로19길 44	126.8831886	37.5123003	유지
S010001234	서울신미림초등학교	서울특별시 구로구 신도림로 26	126.8797202	37.5067665	유지
S010001235	서울신영초등학교	서울특별시 영등포구 도신로4길 32	126.8957688	37.5006343	유지
S010001236	서울신흥초등학교	서울특별시 금천구 독산로36나길 21	126.9086187	37.4596985	유지
S010001237	서울안천초등학교	서울특별시 금천구 한내로 69-16	126.8884707	37.4585983	유지
S010001238	서울여의도초등학교	서울특별시 영등포구 여의대방로 439	126.9368017	37.5231903	유지
S010001239	서울영남초등학교	서울특별시 금천구 문성로 62-15	126.9099306	37.4757797	유지
S010001240	서울영동초등학교	서울특별시 영등포구 국회대로53길 20	126.9076001	37.5269133	유지
S010001241	서울영등포초등학교	서울특별시 영등포구 경인로 756	126.8982	37.5128845	유지
S010001242	서울영림초등학교	서울특별시 영등포구 시흥대로173길 14	126.902531	37.4872863	유지
S010001243	서울영서초등학교	서울특별시 구로구 도림로20길 57	126.8947321	37.4883984	유지
