sido	gu	name	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022
서울	송파구	서울가락초등학교	50	37	32	29	26	15	0	0	0	0	0	55	51	51	53	1392	995	834	702	602	177	0	0	0	0	0	812	1006	1071	1167
서울	송파구	서울가원초등학교	30	30	30	29	30	28	29	29	29	29	30	30	29	29	29	901	856	824	782	742	691	662	673	667	651	666	630	627	653	639
서울	송파구	서울가주초등학교	45	45	44	44	43	43	41	42	42	41	41	41	40	39	38	1471	1353	1280	1282	1205	1117	1071	1062	1018	966	927	920	865	845	830
서울	송파구	서울개롱초등학교	20	23	24	25	25	25	25	25	25	25	25	25	23	22	20	635	715	757	763	765	762	736	704	644	555	508	474	423	402	363
서울	송파구	서울거여초등학교	40	36	36	32	29	26	24	24	24	24	29	32	31	31	32	1073	974	870	802	694	590	511	465	420	411	442	618	650	644	653
서울	송파구	서울거원초등학교	62	60	60	60	58	54	53	51	46	35	34	35	36	42	39	2010	1851	1711	1658	1513	1385	1355	1285	1041	732	700	670	619	799	679
서울	송파구	서울남천초등학교	42	40	39	38	36	34	33	31	29	27	27	26	25	24	21	1189	1100	1009	945	829	782	755	717	619	577	557	518	453	406	364
서울	송파구	서울마천초등학교	46	45	44	45	46	46	46	46	45	45	45	45	45	42	43	1386	1282	1209	1278	1281	1219	1180	1130	1078	1033	1032	995	912	883	884
서울	송파구	서울문덕초등학교	33	31	29	29	28	26	26	25	30	30	29	30	30	29	28	975	905	813	731	637	607	579	554	544	603	614	616	603	596	589
서울	송파구	서울문정초등학교	56	54	52	51	48	48	46	45	43	43	43	43	41	37	34	1781	1555	1461	1347	1227	1179	1119	1040	991	942	905	878	796	742	719
서울	송파구	서울문현초등학교	15	35	41	43	43	43	43	44	44	44	43	43	43	42	42	388	1069	1211	1264	1234	1215	1160	1123	1059	1024	935	906	843	849	849
서울	송파구	서울방산초등학교	36	36	36	36	33	32	31	30	29	30	31	31	30	29	29	1233	1131	1073	978	896	791	735	719	704	672	724	665	660	635	644
서울	송파구	서울방이초등학교	47	43	43	41	38	36	34	32	31	31	31	31	30	30	30	1323	1220	1131	1011	936	849	780	739	698	672	639	608	577	563	566
서울	송파구	서울버들초등학교	24	25	26	26	27	28	30	31	31	31	31	32	32	32	32	843	839	859	834	825	852	907	906	930	979	999	1025	1060	1107	1066
서울	송파구	서울삼전초등학교	62	58	55	54	50	48	46	44	41	42	43	44	42	41	40	1869	1655	1550	1417	1290	1168	1098	1026	953	942	920	904	829	807	782
서울	송파구	서울석촌초등학교	51	50	50	50	50	49	49	48	43	43	43	40	39	39	37	1653	1491	1396	1359	1268	1246	1275	1199	1100	1014	971	897	824	773	744
서울	송파구	서울세륜초등학교	28	29	29	27	29	30	30	30	29	30	30	30	30	32	32	888	861	809	778	759	703	685	669	674	695	676	688	679	688	637
서울	송파구	서울송례초등학교	0	0	0	0	0	0	33	43	46	49	55	55	55	56	56	0	0	0	0	0	0	788	1008	958	981	1202	1205	1167	1298	1416
서울	송파구	서울송전초등학교	29	30	30	30	30	30	30	31	31	32	32	32	32	32	33	895	913	941	946	946	881	887	903	859	869	891	878	846	836	824
서울	송파구	서울송파초등학교	52	50	48	46	42	38	38	36	36	36	35	33	32	29	27	1649	1518	1354	1277	1110	1008	949	876	826	774	726	686	637	612	569
서울	송파구	서울신가초등학교	52	50	47	44	42	40	38	36	34	35	32	34	33	33	34	1638	1448	1290	1219	1114	982	916	862	812	743	745	719	678	675	686
서울	송파구	서울신천초등학교	32	31	31	32	31	29	29	30	29	29	28	27	26	26	26	842	794	766	708	675	595	592	563	526	527	486	457	443	439	419
서울	송파구	서울아주초등학교	30	28	28	29	29	29	28	26	26	26	26	26	24	23	22	936	868	884	843	781	693	643	650	595	576	562	519	472	457	421
서울	송파구	서울영풍초등학교	48	46	44	44	43	38	36	36	34	32	32	32	30	27	33	1388	1303	1214	1127	1043	909	858	831	750	649	642	599	543	493	658
서울	송파구	서울오금초등학교	40	37	36	34	31	29	27	26	25	28	28	26	26	28	31	1208	1122	1035	902	804	731	667	611	576	583	633	591	617	625	654
서울	송파구	서울오륜초등학교	22	21	21	22	22	24	23	24	24	24	27	27	27	27	26	678	623	592	579	576	560	585	610	615	663	677	674	661	610	527
서울	송파구	서울위례별초등학교	0	0	0	0	0	0	0	0	31	45	57	68	68	69	69	0	0	0	0	0	0	0	0	301	1384	1584	1657	1662	1682	1710
서울	송파구	서울위례솔초등학교	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762
서울	송파구	서울잠동초등학교	38	37	37	37	36	33	33	31	32	32	32	32	32	33	33	1384	1195	1097	1012	935	826	821	781	770	766	772	756	803	831	866
서울	송파구	서울잠신초등학교	0	41	44	45	45	48	50	50	52	52	52	52	52	52	52	0	1432	1507	1586	1547	1586	1614	1653	1661	1640	1649	1681	1653	1559	1490
